Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,"4,792.00","6,561.93","8,985.58","12,199.86","16,463.94","22,254.73","29,386.09","38,673.39","47,564.92","57,516.06","64,683.30","70,368.89","73,892.24","77,214.87","80,750.13","85,400.18","88,626.30","90,994.40","92,558.53","90,421.93","91,770.09","91,015.42","87,838.12","87,684.98","83,295.05","83,106.83","79,628.82","81,388.33","80,993.04","80,984.75","81,103.53"
2,"4,792.00","6,567.58","9,001.06","12,301.39","16,668.27","22,360.82","29,790.44","39,223.01","50,032.93","61,366.80","71,578.27","77,567.49","81,719.16","84,758.54","86,644.69","89,799.74","92,140.29","94,150.17","92,080.94","92,396.56","88,754.17","87,643.80","86,718.97","85,481.08","86,503.64","83,800.81","84,327.39","84,458.53","83,690.61","85,692.94","84,064.37"
3,"4,792.00","6,567.59","9,001.09","12,296.25","16,724.10","22,561.63","30,031.98","38,971.78","48,619.47","57,832.48","65,915.77","74,461.16","81,351.57","84,686.27","86,393.33","84,722.23","83,921.12","82,048.73","80,758.61","80,730.16","79,541.36","80,173.47","78,861.55","79,571.51","78,158.51","80,275.96","80,368.18","79,800.34","81,075.52","81,562.78","84,561.03"
4,"4,792.00","6,572.89","9,015.62","12,281.45","16,572.09","22,125.49","29,559.27","38,297.56","48,566.34","59,827.94","69,917.68","79,624.16","87,772.70","90,949.61","91,130.39","87,752.57","86,267.80","83,633.04","84,743.01","86,481.18","89,138.75","92,150.95","94,122.70","96,442.13","96,357.99","94,464.20","94,300.30","92,607.06","93,081.68","92,545.68","89,032.29"
5,"4,792.00","6,559.47","8,978.84","12,234.46","16,613.65","22,429.72","30,026.49","39,667.38","50,455.27","62,387.11","69,696.65","78,945.71","84,288.57","85,970.76","88,218.85","85,094.70","83,793.14","80,946.83","80,492.66","80,550.78","79,453.24","80,294.62","80,190.76","80,244.09","79,468.62","80,563.53","79,060.88","80,772.96","82,870.73","85,292.45","86,861.68"
6,"4,792.00","6,569.54","9,006.43","12,275.40","16,688.31","22,347.23","29,595.21","38,392.65","47,552.14","56,209.22","64,190.96","70,571.35","76,751.33","82,191.46","87,242.47","90,903.35","94,440.77","94,847.94","96,055.18","91,919.13","89,999.52","86,467.73","83,484.29","80,299.37","77,215.44","77,216.87","74,442.12","75,727.17","76,492.93","76,915.19","77,670.99"
7,"4,792.00","6,568.27","9,002.96","12,217.31","16,520.75","22,176.20","29,562.95","38,222.62","48,877.13","58,368.10","69,588.78","78,654.89","85,414.66","87,093.72","87,683.73","83,815.11","83,621.24","83,712.09","82,978.08","83,849.32","84,888.62","85,967.62","88,573.05","88,463.48","87,873.18","88,066.55","85,702.20","87,455.98","83,882.58","84,198.08","81,058.08"
8,"4,792.00","6,546.87","8,944.38","12,210.70","16,583.29","22,276.06","29,780.83","39,373.60","49,653.92","61,065.43","68,855.85","76,675.17","82,676.05","87,370.44","92,396.34","95,376.78","95,034.86","91,749.44","86,190.10","82,516.96","79,725.54","80,338.19","81,853.14","81,438.88","80,766.10","80,622.40","79,881.50","80,285.71","79,653.66","80,986.57","82,281.59"
9,"4,792.00","6,536.08","8,914.93","12,174.53","16,510.06","22,181.92","29,516.26","38,391.26","47,970.46","57,068.81","63,755.15","72,379.56","76,522.42","83,212.62","84,075.06","87,085.00","84,345.30","83,619.20","83,668.76","84,568.39","84,608.15","88,060.82","87,540.17","86,391.98","84,283.14","83,076.87","83,077.91","81,547.43","82,181.51","80,459.15","77,737.84"
10,"4,792.00","6,557.69","8,973.97","12,249.46","16,622.17","22,403.56","29,781.31","39,174.47","48,520.00","59,238.69","68,077.46","77,763.47","85,348.52","90,130.38","94,112.23","93,638.03","93,576.12","90,511.63","87,795.91","83,499.58","81,828.33","77,756.82","79,187.07","79,708.85","81,947.69","85,688.40","87,382.03","90,235.07","91,048.01","90,641.40","87,053.36"
11,"4,792.00","6,565.70","8,995.90","12,220.78","16,453.42","21,944.04","29,225.21","37,272.93","46,350.34","54,243.48","61,638.79","67,357.60","72,404.57","76,003.99","79,997.70","83,124.95","86,112.36","89,503.87","91,155.47","94,187.04","92,630.51","93,575.82","90,028.96","90,739.67","90,448.93","91,183.91","93,457.77","91,128.58","92,489.53","91,771.23","93,149.16"
12,"4,792.00","6,568.00","9,002.22","12,215.09","16,614.37","22,410.13","29,596.55","39,104.21","48,469.69","59,642.67","69,721.77","78,989.69","85,574.60","91,610.89","93,002.58","94,305.91","92,016.19","92,600.17","91,490.04","93,080.81","94,044.36","94,473.98","93,322.54","92,563.79","90,915.09","88,373.73","85,542.98","82,391.08","79,815.87","76,744.75","76,750.19"
