Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
1,746,"1,028.46","1,417.87","1,947.95","2,669.38","3,635.69","4,919.31","6,601.13","8,779.22","11,696.48","15,050.50","19,121.35","22,741.35","25,574.18","26,729.86","28,085.26","28,221.14","28,676.26","29,201.40","30,153.65","30,640.14","30,510.38","30,289.59","29,622.48","30,360.21","31,504.40","33,210.06","35,042.55","35,300.35","35,655.20","34,512.23"
2,746,"1,027.81","1,416.07","1,948.13","2,665.96","3,653.97","4,946.34","6,667.64","8,974.87","11,928.97","15,734.37","19,511.95","23,300.38","26,630.04","29,276.27","30,532.86","32,687.63","33,453.27","34,398.46","35,245.13","35,763.83","36,089.56","34,959.27","34,200.53","33,250.64","32,293.99","33,127.11","33,781.23","33,650.85","34,371.13","33,230.61"
3,746,"1,028.74","1,418.63","1,953.75","2,678.82","3,673.65","5,020.75","6,805.94","9,113.43","11,971.61","15,233.57","18,952.12","21,760.24","25,332.32","27,271.83","28,256.40","28,560.99","28,766.56","29,532.14","29,970.56","30,257.23","31,430.46","30,833.58","31,707.82","31,853.57","32,901.44","33,366.74","34,975.81","33,935.89","33,188.98","32,556.88"
4,746,"1,028.98","1,419.32","1,953.05","2,675.37","3,662.00","4,969.62","6,741.64","9,093.67","12,073.76","15,939.93","20,069.83","24,038.35","27,236.07","30,112.28","30,551.77","32,817.75","33,661.07","34,995.06","36,312.85","36,333.20","35,957.03","34,598.65","34,063.55","32,787.39","32,468.94","31,184.01","31,058.89","30,400.43","30,626.36","31,162.34"
5,746,"1,027.48","1,415.17","1,949.57","2,675.13","3,654.54","4,991.48","6,786.83","9,127.69","12,157.39","15,820.68","20,071.91","24,236.94","28,511.89","32,803.46","35,110.85","36,464.06","35,975.27","34,065.56","34,122.35","33,263.38","32,973.94","32,009.66","31,307.36","30,498.50","30,830.59","31,494.00","33,009.31","34,567.88","35,061.82","35,708.78"
6,746,"1,029.54","1,420.85","1,955.06","2,677.00","3,655.38","4,983.91","6,757.23","8,960.88","11,952.30","15,302.22","19,561.75","24,128.89","28,336.94","31,724.79","32,784.44","32,844.10","33,256.66","32,888.69","34,398.00","33,942.34","34,049.21","32,786.26","31,551.94","30,962.61","29,464.87","28,933.20","28,972.75","29,101.88","30,445.12","30,334.58"
7,746,"1,028.45","1,417.83","1,952.56","2,680.83","3,655.51","4,942.43","6,659.21","8,867.10","11,829.64","15,301.99","19,663.55","24,015.94","28,322.63","31,086.47","32,218.11","32,468.70","31,961.01","31,289.71","31,646.64","32,249.69","33,473.20","34,188.95","34,259.17","34,778.76","34,362.99","35,290.61","34,532.73","35,583.04","34,531.91","34,289.53"
8,746,"1,028.62","1,418.32","1,954.09","2,683.82","3,655.95","4,969.19","6,675.35","8,866.78","11,821.13","15,206.83","19,555.02","23,987.61","27,444.80","30,212.91","32,092.98","32,479.56","34,311.80","34,416.45","34,638.39","35,197.43","35,182.72","35,020.76","35,907.00","35,922.27","34,869.79","33,910.02","32,561.19","31,462.71","31,999.52","31,484.12"
9,746,"1,028.40","1,417.72","1,947.41","2,678.38","3,663.45","4,969.95","6,666.34","8,985.17","11,897.07","15,726.68","19,869.26","24,482.09","28,843.72","31,893.60","34,865.03","36,287.87","36,800.57","36,014.11","35,309.78","34,541.50","34,579.60","35,532.14","34,395.60","35,651.90","33,201.45","34,162.67","33,435.69","32,303.36","32,088.70","30,876.30"
10,746,"1,026.91","1,413.59","1,944.00","2,671.75","3,662.09","4,992.27","6,772.55","9,034.40","11,965.85","15,473.93","19,448.81","23,593.56","28,033.73","31,710.80","35,283.09","36,795.22","36,463.71","34,589.53","32,427.94","31,121.47","31,161.63","30,165.36","31,843.86","30,656.04","32,238.78","31,353.46","31,652.61","32,077.31","31,534.53","31,512.22"
