"Anio","Valor_mas_frecuente"
"Year",1
"X1994",4792
"X1995",6548.28
"X1996",8948.25
"X1997",12248.99
"X1998",16483.78
"X1999",22357.23
"X2000",29589.08
"X2001",38673.39
"X2002",49371.21
"X2003",60317.97
"X2004",69248.25
"X2005",78497.11
"X2006",81424.76
"X2007",84572.56
"X2008",85265.64
"X2009",85237.66
"X2010",83401.62
"X2011",82487.86
"X2012",81862.48
"X2013",80759.22
"X2014",82646.16
"X2015",84025.06
"X2016",84032.01
"X2017",84982.7
"X2018",83999.64
"X2019",81751.61
"X2020",94300.3
"X2021",78133.45
"X2022",79207.24
"X2023",81127.26
"X2024",85489.2
