"Anio","Valor_mas_frecuente"
"Year",1
"X1994",746
"X1995",1029.52
"X1996",1420.78
"X1997",1950.14
"X1998",2669.38
"X1999",3672.84
"X2000",4982.92
"X2001",6785.53
"X2002",9049.55
"X2003",11883.38
"X2004",15433.24
"X2005",18937.5
"X2006",23052.77
"X2007",26268.63
"X2008",29497.79
"X2009",31882.31
"X2010",34037.82
"X2011",35371.33
"X2012",34393.68
"X2013",31646.64
"X2014",34015.61
"X2015",32162.2
"X2016",32245.07
"X2017",32117.9
"X2018",31018.38
"X2019",31931.84
"X2020",31115.99
"X2021",31568.65
"X2022",31871.98
"X2023",31254.64
"X2024",30648.01
